GivenName	Surname	Birthday	uid
D#rlen?	San1ana	\/5/1994	23425
Laura	Houck	8/25/1991	87639
NormaB	Hopper	8/28/1949	60559
Pearl	Lavergne	j/2/1965	51619
Edward	Jones	4/14/1992	11271
Jene	Harper	11/22/G984	18534
Noe.	Nelson	1/9/1992	42796
Louis	Guardado	4/21/1990	56167
Belind]	Plillips	6/2/19:6	25746
ArviRla	Sullivan	8/23/1946	95710
Judith	Avans	7/1/1983	94291
Tifjiny	Perez	3/25/1973	81346
Rodolf#	McCullough	8/22/19f7	6294
Paul	Hardman	7/6/1971	20361
Mary	MaCison	1/20/1959	5501
Mary	Horton	8/20/1987	79418
William	Tilley	3/4/1978	54473
Raymond	Whyte	5/9/1978	9677
Wesley	Vanzant	3/18/1961	96250
Bradlee	Brown	10/5/1999	81120
Teri	Campbell	6/9/194Y	53862
Daxlene	Frazier	3/22/1965	83632
Jamos	Pa,e	3/16/1<61	47840
How9rd	"Willia""s"	1/3/1989	6272
Ronald	ChiMolm	8/18/1#73	32977
Stephen	Chen	1/30/1973	32694
Joel	Lewis	@2/16/1971	47589
Lora	Wilkerson	2/22/1965	73592
Andre	Williqms	10/7/1992	45627
Michael	Dooli5tle	10/2/1947	21920
Lakesha	Bullock	11/`9/1954	54463
Allan	Brown	11/1/1988	18148
Elizabeth	Smith	5/6/1939	447
Alan	Barnes	1/16/1950	93164
Christopher	Craig	1/3/7990	97611
Earl	Douglass	9/14/1954	17237
Lisa	Fernandez	5/4/1976	84437
\ack	Jones	2/19/1978	14225
Lowell	Hawkins	3/2/O977	29891
Dazid	Wilson	2/8/1963	45660
SusaA	Crawford	11/19/2000	50532
Txresa	Erickson	9/12/1962	67575
Jerry	Sachs	1$/8/1951	34551
Anthony	Bland	9/18/1960	96225
Ja=on	Heidrick	M/%1/2000	22341
Gerald	Little	7/11/1975	43938
Monika	Medina	2/14/1K92	13915
Evelyn	Cdell	8/16/1950	25054
Sherry	Gibbons	6y26/1987	21629
Tammy	Zi>gler	6/5/1980	54095
Dana	Lara	11/17/1D55	25433
Docg	Brown	4/22/1940	52752
Edward	Dewald	11/17/1963	88122
