GivenName	Surname	Birthday	uid
Bessie	Ha	5/28/1987	1007
William	Pena	7/16/1945	1853
Casey	Deguzman	5/27/1999	1727
George	Ferguson	5/25/1972	1272
Mary	Deluna	8/17/1969	1644
Ida	Duff	7/10/1944	768
Julia	Carmack	1/14/1956	1390
Robert	Graves	7/9/1994	92
Jean	Jordan	4/2/1975	658
Luther	Jones	3/19/1946	459
Laurette	Rhoades	2/22/1979	1751
Mary	Holtz	8/19/1981	1915
Deborah	Rivas	2/14/1954	1667
Glenn	Carmichael	6/1/1997	1329
James	Bailey	1/5/1986	1250
Barbara	Howard	11/22/1952	1227
Lee	Rush	12/1/1993	464
Bernice	Farnsworth	12/14/1941	79
Emilie	Jordon	3/30/1974	1244
Margaret	Willis	6/13/1962	1076
Larry	Delucia	9/5/2000	1524
Debra	Tran	5/26/2003	1098
Phillip	Bridges	10/10/1947	469
Dale	Crump	3/27/1946	1739
Jacqueline	Keene	4/5/1990	1877
Adam	Donaldson	10/28/1942	1149
Pamela	Madden	12/11/1995	1890
Michael	Martin	7/30/1989	274
Ann	Ramirez	10/15/1947	319
Doris	Craig	8/3/1964	942
Sade	Nash	7/28/1955	10
Elaine	Pitts	2/14/1948	1066
Leon	Washington	3/23/1967	881
Cindy	Fargo	10/13/1968	454
Eunice	Berry	12/10/1941	659
Christopher	Parker	12/4/1964	1673
Adam	Brown	2/27/1975	500
Jean	Camacho	6/29/1953	1780
Kevin	Pickens	4/6/1953	789
William	Beltran	9/18/1972	1096
Floyd	McClaran	3/12/1998	1725
Denise	Pena	4/23/1979	1499
Jennifer	Keller	7/24/1953	1313
William	Addington	3/8/1946	1691
Walter	Johnson	11/2/1959	1763
James	Warfield	11/29/1993	533
Kelly	Anderson	5/15/1968	1666
Thao	Scott	5/29/1993	64
Danielle	Orourke	12/12/1946	814
Judith	Brown	8/1/1999	280
Charles	Barnes	6/8/1991	1176
Celeste	Welty	2/18/1957	1086
Vicki	Scott	7/14/1969	698
Susan	Sanchez	7/19/1972	518
Carmon	Bastian	6/11/2005	935
Susan	Hohl	3/11/1960	1594
Helen	Coleman	2/15/1975	1134
Deann	Brown	7/21/1991	831
Walter	Ryan	4/23/1943	1042
Kenneth	Fajardo	10/31/1982	1428
Marjorie	Strum	12/23/1995	1468
Michelle	Jones	2/21/1947	1817
John	Scheuerman	10/26/1954	1154
Joseph	Marlowe	10/2/1989	519
Tanisha	Olsen	6/3/1945	67
William	Grady	7/12/1968	430
Angela	Robbins	11/13/1961	1336
Kevin	Mowrey	9/6/1978	1646
Florence	Innis	6/19/1976	997
Jenny	Jasper	6/28/1941	1109
Don	Fisher	12/1/1974	1550
Cecelia	Haddock	5/9/1957	203
Edward	Shepard	12/1/2002	1819
Albert	Lowry	8/5/1942	109
Phyliss	Edwards	8/8/1984	291
Arthur	Dobbs	11/12/1975	956
Casey	Jones	7/27/1965	827
Kathryn	Ibarra	3/18/1995	139
Willie	Gray	11/8/1994	845
William	Kiger	8/14/1959	1181
Henry	Roach	12/21/1987	455
Marvin	Huston	7/30/1978	682
Todd	Soriano	3/3/1945	1049
James	Raposa	12/3/1947	1036
Herbert	Vankirk	6/14/1940	1617
Donna	Wilson	5/4/1946	110
Deshawn	McMorris	1/6/1967	1570
Keith	Carico	12/12/1960	1200
David	Riley	9/17/1968	1781
Taylor	Chancellor	3/9/1985	1195
Tina	Rohrer	1/21/1987	1869
Terry	Yeomans	10/26/1972	1259
Debbie	Gross	12/28/1966	1361
Tracy	Carter	4/28/2002	435
Elizabeth	Brigance	10/30/1999	1252
Ruth	Norris	1/17/2003	1219
Charles	Francis	11/10/1980	1904
Peter	King	2/18/1941	1600
Jerri	Rivers	11/4/1938	585
Jo	Wilson	5/9/1967	401
Margaret	Smeltzer	5/23/1967	1085
William	Joines	6/22/1992	1563
Jacquelyn	Glenn	6/2/1996	550
Aaron	Callihan	1/25/1960	1803
Amy	Lynch	6/2/1974	473
Terrie	Pollman	3/11/1952	412
Ernest	Thaler	2/13/1952	678
Jessica	Sarvis	2/18/1997	1959
Ruby	Williams	5/10/1946	825
Billy	Charles	4/26/1979	1569
George	Jump	4/17/1966	1518
Robert	Garcia	5/24/1952	1946
Susana	Keesee	10/20/1987	1558
John	Scott	7/24/1961	1355
Johnathon	Wilson	5/23/1967	1882
Bret	Williams	3/26/1940	220
Carl	Pineda	10/30/1970	1125
Jose	Tipton	8/7/1980	689
Michael	Heacock	6/24/2002	906
Lillian	Potter	9/5/1965	1737
Deborah	Deschamps	10/29/1938	1756
Kathy	Nolting	1/8/1948	241
Bonnie	Fortin	5/3/1942	93
Patricia	Wilkinson	10/2/1995	1832
Jesse	Canfield	9/12/1954	864
Heather	Fox	9/26/1972	1331
Emily	Songer	4/26/1980	968
Joseph	Lepage	7/25/1969	764
Ernest	Shreve	4/21/1982	671
Ramon	Fujiwara	6/23/1964	1711
Jerry	Gunn	4/13/1940	562
Alonzo	Kimbrel	6/12/1947	622
Raymond	Rouse	12/10/1989	1710
Kathy	Matthews	3/2/1965	1696
Robert	Gonzales	8/1/1944	1373
Kris	Jacobs	10/1/1954	1716
Pat	Frazier	1/17/2004	1766
Mark	Thomas	9/30/1991	1544
Diane	Fontanez	2/15/1940	424
Rosalee	Norris	11/23/1964	1891
Thelma	Thomas	11/12/1996	1718
Kimberly	Leavitt	2/12/1993	1745
Charles	Maddox	11/25/1976	1978
Anna	Corona	1/5/1995	182
Kathleen	Knight	3/18/1992	3
Johnny	Olguin	5/11/1940	14
Irene	Vaughn	9/17/1967	1911
Charles	Johnson	1/4/1940	392
Thomas	Ochs	9/12/1947	1433
Nicole	Kirkpatrick	12/20/1990	1199
Samuel	Murray	2/24/1984	177
Judy	Dilday	9/30/1941	1628
Douglas	Johnson	4/5/1976	1729
Elizabeth	Lerner	5/23/1994	1297
Vivian	Sanders	2/22/1995	367
Gene	Fortune	6/24/2000	444
Robin	Williams	5/9/1975	937
William	West	11/17/1969	1153
Steve	Wilson	12/11/1997	310
Margie	Klein	9/7/1989	1626
Jay	Nelson	7/8/1942	1346
Reginald	Gordon	12/12/1950	667
Latoya	Dupont	3/2/1989	1347
Peter	Chin	8/24/1942	812
William	Vandoren	7/26/1973	1813
Cameron	Funk	4/30/1967	161
Drew	Thompson	8/31/1961	710
Wayne	Kiefer	4/28/1940	98
Ida	Carney	12/30/1963	1812
Joseph	Beeman	8/13/1984	611
Myrtis	Ward	9/24/1974	976
Gary	Powers	1/9/1987	1037
John	Jones	12/14/1982	1968
Edwin	Oliva	8/3/1994	1750
John	Garrison	3/16/1987	1921
Victoria	Gillum	2/12/2005	1824
Amanda	Casey	10/18/1963	1899
Janis	Aucoin	3/9/1975	322
Jennie	Ransom	7/4/1954	85
Elizabeth	Thomas	3/4/1946	1189
James	Boyle	12/12/1959	27
Sherwood	Garza	5/20/1979	1681
Randy	Boone	2/15/1945	1993
Daniel	Harden	3/28/1982	1255
Aaron	Motes	7/12/1946	924
Aaron	Gould	6/13/1997	1548
Birdie	Rodriquez	5/4/1942	1448
Norman	Beck	7/2/1943	653
Mattie	Terry	3/24/2000	1446
Richard	Palmer	3/16/1952	1186
Jaime	Meyer	8/27/1954	248
Charles	Johnson	7/2/1943	488
Kelley	Hankins	6/30/1947	1188
Frank	Breault	10/23/2003	1521
William	Estrada	5/30/1949	1515
Amy	Bolinger	6/30/1996	320
Patricia	Penney	8/22/1986	418
Doyle	Medina	2/27/1991	1545
Margarita	Giffin	10/16/1969	1614
Paul	Barrett	6/23/1983	1183
Harry	Jones	6/16/1942	1920
Pamela	Weiser	3/21/2001	97
Joyce	Taylor	1/12/1960	1254
Roseanna	Arter	11/1/1974	1370
Anthony	Ganz	6/19/1997	1139
Emanuel	Jordan	1/6/1950	1314
Kimberly	Foster	10/12/1956	1601
Jason	Johnson	7/9/1959	1202
Matthew	Smith	1/14/1954	134
Roberto	Kaufman	10/14/1971	239
Sandra	Adcock	1/20/1984	384
Margaret	Elmore	1/15/1962	806
Rebecca	Harris	5/26/1944	1140
Elaine	Armbruster	5/4/1990	1555
Jason	Grays	7/22/1941	1892
Paul	Salas	2/16/1987	21
Sean	Kelley	3/7/1991	22
William	Foster	9/4/1959	1242
Rolland	Wilder	8/16/1957	103
Priscilla	Parker	2/25/1984	221
Lillian	Ayers	8/21/1981	1564
Dorothy	Bueno	10/25/1954	925
John	Pringle	3/10/2001	30
Richard	Cross	9/1/1940	753
Chantal	Fox	4/29/1950	773
Cory	Fisher	8/2/1960	132
Donald	Malpass	9/14/1946	817
Griselda	Mack	3/31/1964	445
Chasity	Neil	1/29/1985	692
Sandra	Wakefield	8/12/1982	194
Eleanor	Rice	9/17/1942	1876
Michelle	Russell	8/10/1956	192
Lisa	Moffitt	8/3/1984	1493
Donna	Hutson	6/11/1986	510
Patrick	Daniels	12/11/1993	752
Mark	Barnes	9/21/1950	1583
Alma	Rearick	2/25/1982	1895
Bryon	Thomas	7/9/1986	545
Harriett	Murphy	11/24/1981	1894
Emily	Peer	3/17/1950	647
Florence	Parker	1/4/1953	1809
Charolette	Shotwell	12/2/1955	1732
John	Longoria	7/4/1943	371
Jimmie	Cumming	6/7/1985	1289
Cara	McCart	6/6/1971	894
Paul	Welch	10/5/1952	360
Beau	Carpino	7/19/1962	193
Lou	Hayes	8/23/1949	917
Darnell	Misner	11/1/1938	169
John	Messick	8/17/1962	834
Loren	Diederich	8/16/1960	1376
Jacquelyn	Cross	5/24/1972	1304
Stephanie	Rost	7/8/1944	731
Robert	Martinez	8/4/1954	28
Heather	Whiten	4/7/1941	1155
Abel	Beall	8/4/1990	853
Andrew	Arreola	11/30/1994	461
Chris	Johnston	9/24/1992	484
Rebecca	Bell	7/27/1992	786
Cody	Herrera	10/20/1945	899
Thomas	Butler	4/4/1973	82
Pedro	Diaz	3/14/1953	542
Terry	Hall	11/1/1974	1820
John	Sorrells	4/13/1996	1146
Lee	Guerin	10/3/1943	42
Bernadette	Hepler	9/19/1979	1645
Perry	Bruno	9/22/1938	335
Robert	McCorkle	5/5/2000	614
Wanda	Howard	7/21/1962	234
Richard	Crabtree	7/2/1951	1379
Alan	Wright	9/16/1972	800
Harry	Weiss	10/15/1997	785
Betty	Norwood	12/5/1946	410
Gladys	Boswell	11/27/1982	969
Davis	Stuart	6/15/1939	1141
Preston	Novak	8/7/1997	1517
Troy	Sanders	11/14/1976	1843
Richard	Moye	8/12/1985	1164
Janet	Staley	12/6/1950	918
Robin	Shimp	7/14/1947	293
Thomas	Skinner	6/10/1971	165
Marion	Yang	2/24/1999	1777
Andrew	Guy	7/30/1979	1561
Jimmy	Butler	7/28/2001	1844
Kimberly	Hobson	11/17/1981	699
Maria	Bush	7/7/2003	1017
Angela	Alexander	11/25/1989	1124
Marjorie	Watson	5/23/1968	643
Maria	Holt	9/12/1945	588
Ruby	McSwain	3/17/1961	951
Edward	Hunter	12/20/1953	1491
Thomas	Johnson	2/8/1999	536
Domonique	McEwen	1/17/1979	485
Jeremiah	Lewis	5/31/1956	762
Donald	Winship	11/17/1969	496
Elena	White	3/25/1994	1057
Mickey	Moy	8/10/1956	349
Bruce	Young	11/30/1997	1525
Robert	Woods	3/5/1942	681
Marion	Sanders	7/17/1976	175
Kimberly	Collins	3/19/2002	94
Katie	Croteau	12/29/1988	374
Norma	Pagan	7/23/1992	709
Deborah	Clements	8/13/1959	289
William	Cochran	7/3/2001	1490
Ila	Hackett	1/20/1972	565
Traci	Mattern	12/13/1987	358
Willie	Payne	9/24/1994	1150
Alfredo	Butler	2/14/1988	1896
Diane	McKay	12/2/1971	1939
Sean	Knox	10/14/1969	1608
Dennis	Manwaring	5/15/1966	1471
Michelle	Dobbs	8/7/1976	605
Jose	Faucher	2/3/1990	876
Peter	Blank	3/19/1970	1654
Alicia	Higgins	10/26/1953	449
Miriam	Gonzales	12/1/1957	1237
Katrina	Karns	9/26/1953	288
Frank	Sawyer	4/1/1982	172
Dorothy	Meza	12/17/1982	1546
Margaret	Stroud	6/19/1972	1799
Stella	Soto	8/17/1955	115
David	Wells	11/9/1963	1658
Dean	Chalker	10/5/1952	1943
Johnny	Bailey	11/25/1940	1684
Miriam	Wallace	1/25/1939	446
John	Willoughby	11/5/1998	1045
John	Bradburn	3/30/1985	1387
Linda	Waller	3/28/1955	1497
Steven	Jenkins	8/16/1970	855
Anthony	Poole	1/18/1958	1268
Brian	Jackson	7/25/1991	158
Gwendolyn	Johnson	7/8/1959	1145
Jessica	Sontag	7/17/1954	1842
Lamar	Farmer	3/29/1995	1271
Annetta	Giordano	8/3/1941	524
Mari	Young	6/17/1945	1004
Shawn	Rogers	11/1/1948	887
Richard	Barnett	10/23/1994	1078
Samuel	Jenks	2/5/1986	1948
Ingrid	Walton	7/1/1989	1670
Christopher	Masters	1/24/1945	1487
William	Greene	1/21/1999	527
Stephanie	Manion	8/22/1964	1388
Theresa	Winter	1/8/1951	1245
Marla	Miller	12/19/1964	1807
Lisa	Richardson	9/19/1999	1580
Floyd	Reese	6/29/1996	636
Laura	Garcia	5/12/1967	1810
Clement	Yost	12/23/1955	920
Gregory	Lacayo	7/15/1994	910
Linda	Hanscom	10/8/1970	620
George	Chaney	8/25/1981	1720
Helen	Nguyen	5/24/1958	523
Melida	Parker	5/26/1996	1435
Michael	Stallworth	7/17/1954	1918
Dawn	McLean	7/13/2002	398
Gerald	Main	10/13/1999	285
Joy	James	4/6/2002	992
Gina	Davis	5/25/1981	1597
Michael	King	9/26/1942	884
William	Quinlan	3/26/2005	926
Marvel	Villasenor	11/9/1975	1033
Julie	Collins	6/12/1971	1010
Ryan	Parr	5/22/2004	1633
Latisha	McGhee	12/28/1951	222
Glen	Hopkins	3/26/1951	1413
Gregory	Fields	5/28/1991	1062
Leon	Covington	8/9/1947	509
Dorothy	Walker	5/29/1985	516
Marlene	Ryan	3/12/1967	1402
Susan	Bowman	2/9/1951	626
Isabell	Brown	6/29/1964	1796
Carl	Brown	4/20/1950	1705
Richard	Loving	10/18/1943	1398
Elizabeth	Stamper	7/26/1958	227
William	Hodge	9/14/1986	1009
Nancy	Rogue	12/19/1987	577
Lisa	Hodges	6/24/1940	751
Judy	Bryant	6/26/1961	1835
Craig	Navarro	6/26/1968	451
Aaron	Walker	6/22/1953	555
Billie	Garza	5/6/1953	1261
Perry	Bland	2/13/1999	642
Robert	Harrison	3/29/1941	145
Sandra	Smith	6/2/1964	1508
Mary	Hanrahan	5/19/1976	1257
Kathleen	Jackson	11/25/1962	1233
Nan	Rogers	3/1/1960	1719
Yadira	Ladner	9/25/1976	117
Kaye	Brose	12/15/1964	1847
Roberto	Stipe	8/31/1962	861
Linda	Franco	7/23/1998	428
Walter	Anglin	4/1/1943	541
Laurie	Mosley	3/28/1964	1998
Luciano	Smith	1/7/1981	479
Pablo	Preston	3/18/1972	1868
Christopher	Williams	1/18/1978	1324
Timothy	Ervin	3/26/1997	305
Stephen	Pack	11/2/1951	1979
Rick	Portillo	3/8/2000	559
Suzy	Jackson	9/23/1994	298
Rosemarie	Flores	11/13/2004	1503
Matthew	May	11/5/1967	1018
Calvin	Miller	8/24/1974	1063
Jason	Tang	4/5/1997	1839
Adrianne	Kennedy	12/7/1998	1423
Jean	Purdy	2/12/2004	439
Mark	Maldonado	3/11/1966	839
Maria	Morgan	5/27/1997	582
Randy	Harrison	5/25/2002	63
Adrianne	McAfee	7/28/1977	81
Fabian	Manley	1/10/1990	558
Kristine	Chatman	2/16/1953	1837
Marc	Kranz	9/20/1986	297
Margaret	Travis	12/5/1980	1104
Michael	Williams	3/1/1982	205
Mary	Pickett	4/2/1964	1445
Kathy	Pratt	7/5/2002	173
James	Punch	6/7/1984	167
John	English	8/13/1946	1954
Carla	Little	12/18/1950	1659
Maura	Damon	10/24/1952	1535
Jeffrey	Warren	6/24/1971	720
Patricia	Cobb	4/14/1977	1587
Virginia	Millington	12/23/2002	1117
Lola	Jarvis	11/27/1959	1516
Dionne	Harvey	8/23/1968	1320
Barbara	Bolen	3/24/1993	1930
Emily	Payne	12/6/1945	156
Tammy	Hardaway	3/25/1955	1822
Brandon	Urick	4/20/1957	312
Elsie	Walker	8/8/1972	1177
Brian	Stumbaugh	2/1/1967	1165
Priscilla	Robinson	4/16/1947	1094
Herbert	Wareham	5/20/1997	111
Sarah	Fraher	9/1/1970	1693
Robert	Lee	4/9/2002	1212
Jose	McDonald	4/2/1989	530
Troy	Bradley	8/31/1972	591
Shirley	Hopkins	3/29/1982	1635
Robert	Preston	7/20/1976	599
Dorothy	Lewis	11/26/1948	754
John	Christensen	11/27/1992	1306
Herbert	Boyd	8/8/1950	1776
Travis	Devries	4/20/1965	1040
Kurtis	Broadnax	11/18/1965	1947
Barbara	Stein	9/12/1984	1760
Jose	Farris	7/13/2001	1768
Thomas	Larue	5/6/2003	1005
Claudette	Cantor	4/28/1957	1989
Jack	Buck	10/17/1940	1831
Gina	Cruz	7/13/1963	407
Edith	Sanchez	2/16/1962	1987
Ricardo	Doolittle	8/26/1961	433
Leslie	Cotten	9/28/1945	967
Chandra	Munger	11/29/1983	549
Sherri	White	9/21/1980	330
Andra	Negron	10/7/1977	1444
Greg	Cook	11/27/2004	71
Kenneth	Evans	5/19/1961	1926
Derek	Cardenas	11/28/1962	1528
Coleen	Rae	8/22/1939	724
Agnes	Farmer	3/5/1983	1599
Margaret	Shaw	3/20/1985	1749
Sherrie	Robinson	11/13/1951	1409
Gary	Brothers	7/21/1968	141
Jerome	Horstman	11/13/2001	999
Holly	Perez	8/18/1940	1339
Krystle	Baker	5/6/1998	91
Stephen	Collier	12/5/1976	655
Yvonne	Kelly	1/13/1969	703
Aretha	Silva	5/31/1961	1335
Wilfred	Anderson	10/23/1956	1542
Robert	Diaz	10/30/1973	397
Bruce	Mader	8/14/1962	1913
Charles	Aviles	8/9/1953	713
Les	Brandon	7/2/2002	1581
Stephen	Williams	1/21/1970	1950
Jody	Sellers	6/22/1988	1340
Anna	Scott	12/22/1996	219
Richard	Mathews	4/1/1965	1054
Dan	Sheller	4/26/1991	1492
Jessica	Clements	5/24/1998	804
Jess	Watson	1/15/1974	1412
Samuel	Sanchez	9/5/1994	529
Robert	Miera	12/18/1956	1703
James	Reed	4/30/1963	1460
Paula	Brown	1/11/1976	283
John	Mount	2/9/1990	1871
Virginia	Garcia	6/3/1947	1338
Hong	Rosario	4/24/2005	1889
Jessie	Avery	6/25/1994	1540
Brian	Brown	5/21/1996	1019
Lori	Downey	8/29/1992	654
Jose	Collins	4/22/1985	332
James	Key	6/9/1989	1928
Kimberly	Scalia	6/6/1946	290
Joseph	Payton	11/10/1995	1457
Rosalina	Meyer	8/8/1991	1855
Benjamin	Evans	5/9/1969	1850
Jon	Walker	6/26/1969	191
Juliet	Gates	10/25/1976	738
Dale	Harris	12/13/1943	1677
George	Johnson	5/21/2002	1027
Brandon	Baker	2/6/2002	870
Herbert	Hunter	6/8/1954	554
Virginia	Unruh	7/17/1941	766
Andrew	Gallegos	1/4/2003	482
Laura	Figueiredo	1/9/1969	136
Geraldine	Hamilton	9/25/1997	1579
Sherry	Salinas	3/27/2001	1273
Fredrick	Jackson	1/17/1977	1951
Brandi	Miller	3/12/1971	819
David	Johnson	7/3/1977	1021
Andrea	Beltran	9/24/1971	916
Jeffrey	Daugherty	8/5/1949	1841
Arlene	Pung	6/10/1972	1450
Liza	Brehm	12/29/2002	1464
Thomas	Palmieri	12/11/1997	1735
Jennifer	Cordeiro	6/29/1985	670
Victoria	Hewitt	6/11/1963	1307
James	Weston	1/26/2004	1039
Kathy	Broadwell	6/4/2005	362
Terry	Lightner	12/5/1974	229
Justin	Foulds	5/15/1986	1473
Paul	Macleod	5/8/1974	850
Ilona	Aucoin	5/10/1988	1800
John	Ruiz	9/21/1962	1224
Ruth	Oliver	6/16/1994	1432
Cheryl	Alves	3/31/1957	1211
William	Smith	3/31/1964	1410
Joyce	Holley	7/21/1961	1330
Roseanna	Cruz	12/19/2000	253
David	Crites	3/24/1993	974
Cathy	Sears	3/27/1988	83
